2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:64 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:66 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:67 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:68 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:69 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:70 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:71 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:72 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:73 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:74 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:74 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:75 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:76 networkType:TcpListen connect type:None value:0[0m
